date,sm5,sm10,sm20,sm40,st5,st10,st20,st40,nodes,obs48
2021-01-27,0.1104228,0.1451935,0.1282455,0.110187,-5.62312,-5.16292,-4.63042,-3.27417,10,48
2021-01-28,0.1096821,0.1445961,0.1279062,0.1101312,-6.025,-5.47833,-4.82937,-3.30896,10,48
2021-01-29,0.1079827,0.1430413,0.127059,0.1097482,-6.92896,-6.23917,-5.34708,-3.51417,10,48
2021-01-30,0.1080672,0.142847,0.1266049,0.1092305,-6.84354,-6.31562,-5.55958,-3.78479,10,48
2021-01-31,0.1074405,0.1422858,0.1261558,0.1089338,-7.17812,-6.59521,-5.78,-3.91188,10,48
2021-02-01,0.1090722,0.1433249,0.1266772,0.1088695,-6.27813,-5.94958,-5.46771,-3.94271,10,48
2021-02-02,0.1091433,0.1435047,0.1270703,0.1090802,-6.29187,-5.83854,-5.25521,-3.77167,10,48
2021-02-03,0.1085655,0.1431582,0.1268702,0.109068,-6.55812,-6.05542,-5.37979,-3.79125,10,48
2021-02-04,0.1083374,0.1429939,0.1266527,0.1089556,-6.63979,-6.15583,-5.49458,-3.87125,10,48
2021-02-05,0.1090854,0.1433796,0.1268185,0.1089281,-6.27333,-5.89646,-5.37667,-3.89021,10,48
2021-02-06,0.1100415,0.1443941,0.1274174,0.109178,-5.67333,-5.37896,-5.0,-3.73,10,48
2021-02-07,0.110004,0.1445593,0.1276919,0.1094901,-5.745,-5.32083,-4.85312,-3.56125,10,48
2021-02-08,0.1095807,0.1441454,0.1275334,0.1095184,-6.02083,-5.54146,-4.97208,-3.56042,10,48
2021-02-09,0.1096778,0.1441214,0.1274393,0.1093932,-5.96229,-5.56563,-5.03354,-3.63708,10,48
2021-02-10,0.1105955,0.1445326,0.1275861,0.1093,-5.27375,-4.9525,-4.6275,-3.42813,10,48
2021-02-11,0.1118148,0.1458913,0.1284323,0.1099137,-4.93437,-4.71958,-4.45563,-3.40792,10,48
2021-02-12,0.1157135,0.1486351,0.1300617,0.1105487,-3.66813,-3.71729,-3.76667,-3.10458,10,48
2021-02-13,0.1181633,0.1509963,0.131988,0.1116695,-3.25792,-3.14854,-3.14292,-2.66667,10,48
2021-02-14,0.1168864,0.150435,0.1320813,0.1122962,-3.81562,-3.48083,-3.20083,-2.46062,10,48
2021-02-15,0.1144351,0.1486138,0.1311929,0.11219,-4.7275,-4.19604,-3.64687,-2.52562,10,48
2021-02-16,0.1121295,0.1465424,0.1297817,0.1115595,-5.66437,-5.02646,-4.29167,-2.8225,10,48
2021-02-17,0.1116592,0.1457126,0.1288502,0.1107892,-5.84646,-5.33979,-4.70521,-3.16417,10,48
2021-02-18,0.1117682,0.1456881,0.1285808,0.1104067,-5.74833,-5.31562,-4.78521,-3.35229,10,48
2021-02-19,0.1130167,0.1464926,0.1289117,0.1103389,-5.10562,-4.85979,-4.55146,-3.36542,10,48
2021-02-20,0.114471,0.1478665,0.1298237,0.1107211,-4.46125,-4.25562,-4.05875,-3.145,10,48
2021-02-21,0.1152928,0.1486735,0.1305529,0.1111764,-4.11167,-3.91729,-3.72875,-2.91708,10,48
2021-02-22,0.114981,0.1486737,0.1307953,0.111554,-4.28937,-3.96417,-3.65208,-2.76542,10,48
2021-02-23,0.1136857,0.1470511,0.1296187,0.1114248,-4.83771,-4.34792,-3.80625,-2.67333,10,48
2021-02-24,0.120459,0.1434285,0.121903,0.1105984,-3.05208,-2.78875,-2.5075,-1.77979,10,48
